initializeActionGrid1, size=1024, steps=20, fName=output_grid1_1024_20_seq.txt
step 0: 525310 cooperates, 523266 defects
step 1: 526330 cooperates, 522246 defects
step 2: 527348 cooperates, 521228 defects
step 3: 528364 cooperates, 520212 defects
step 4: 529378 cooperates, 519198 defects
step 5: 530390 cooperates, 518186 defects
step 6: 531400 cooperates, 517176 defects
step 7: 532408 cooperates, 516168 defects
step 8: 533414 cooperates, 515162 defects
step 9: 534418 cooperates, 514158 defects
step 10: 535420 cooperates, 513156 defects
step 11: 536420 cooperates, 512156 defects
step 12: 537418 cooperates, 511158 defects
step 13: 538414 cooperates, 510162 defects
step 14: 539408 cooperates, 509168 defects
step 15: 540400 cooperates, 508176 defects
step 16: 541390 cooperates, 507186 defects
step 17: 542378 cooperates, 506198 defects
step 18: 543364 cooperates, 505212 defects
step 19: 544348 cooperates, 504228 defects
initializeActionGrid2, size=1024, steps=20, fName=output_grid2_1024_20_seq.txt
step 0: 1045506 cooperates, 3070 defects
step 1: 1044481 cooperates, 4095 defects
step 2: 1043458 cooperates, 5118 defects
step 3: 1042436 cooperates, 6140 defects
step 4: 1041414 cooperates, 7162 defects
step 5: 1040393 cooperates, 8183 defects
step 6: 1039372 cooperates, 9204 defects
step 7: 1038352 cooperates, 10224 defects
step 8: 1037332 cooperates, 11244 defects
step 9: 1036313 cooperates, 12263 defects
step 10: 1035294 cooperates, 13282 defects
step 11: 1034276 cooperates, 14300 defects
step 12: 1033258 cooperates, 15318 defects
step 13: 1032241 cooperates, 16335 defects
step 14: 1031224 cooperates, 17352 defects
step 15: 1030208 cooperates, 18368 defects
step 16: 1029192 cooperates, 19384 defects
step 17: 1028177 cooperates, 20399 defects
step 18: 1027162 cooperates, 21414 defects
step 19: 1026148 cooperates, 22428 defects
initializeActionGrid3, size=1024, steps=20, fName=output_grid3_1024_20_seq.txt
step 0: 1048571 cooperates, 5 defects
step 1: 1048563 cooperates, 13 defects
step 2: 1048551 cooperates, 25 defects
step 3: 1048537 cooperates, 39 defects
step 4: 1048521 cooperates, 55 defects
step 5: 1048503 cooperates, 73 defects
step 6: 1048487 cooperates, 89 defects
step 7: 1048463 cooperates, 113 defects
step 8: 1048443 cooperates, 133 defects
step 9: 1048412 cooperates, 164 defects
step 10: 1048387 cooperates, 189 defects
step 11: 1048356 cooperates, 220 defects
step 12: 1048324 cooperates, 252 defects
step 13: 1048287 cooperates, 289 defects
step 14: 1048255 cooperates, 321 defects
step 15: 1048223 cooperates, 353 defects
step 16: 1048179 cooperates, 397 defects
step 17: 1048136 cooperates, 440 defects
step 18: 1048100 cooperates, 476 defects
step 19: 1048046 cooperates, 530 defects
initializeActionGrid4, size=1024, steps=20, fName=output_grid4_1024_20_seq.txt
step 0: 1048571 cooperates, 5 defects
step 1: 1048565 cooperates, 11 defects
step 2: 1048559 cooperates, 17 defects
step 3: 1048552 cooperates, 24 defects
step 4: 1048544 cooperates, 32 defects
step 5: 1048535 cooperates, 41 defects
step 6: 1048525 cooperates, 51 defects
step 7: 1048514 cooperates, 62 defects
step 8: 1048502 cooperates, 74 defects
step 9: 1048489 cooperates, 87 defects
step 10: 1048475 cooperates, 101 defects
step 11: 1048460 cooperates, 116 defects
step 12: 1048444 cooperates, 132 defects
step 13: 1048427 cooperates, 149 defects
step 14: 1048409 cooperates, 167 defects
step 15: 1048390 cooperates, 186 defects
step 16: 1048370 cooperates, 206 defects
step 17: 1048349 cooperates, 227 defects
step 18: 1048327 cooperates, 249 defects
step 19: 1048304 cooperates, 272 defects
